iter	Passed	Remaining
0	144	144164
1	154	77089
2	156	52151
3	166	41553
4	178	35589
5	189	31392
6	201	28538
7	212	26373
8	232	25623
9	244	24199
10	257	23189
11	270	22234
12	282	21457
13	293	20704
14	304	19969
15	313	19292
16	324	18771
17	334	18246
18	338	17495
19	348	17092
20	358	16723
21	369	16418
22	379	16105
23	389	15825
24	400	15605
25	410	15371
26	420	15163
27	430	14943
28	439	14722
29	449	14518
30	458	14346
31	467	14153
32	473	13888
33	482	13720
34	492	13575
35	501	13441
36	511	13312
37	521	13211
38	530	13081
39	540	12983
40	551	12908
41	561	12801
42	570	12699
43	580	12608
44	590	12528
45	599	12438
46	610	12375
47	619	12283
48	628	12200
49	638	12132
50	647	12049
51	657	11989
52	668	11936
53	677	11865
54	686	11796
55	695	11727
56	705	11665
57	716	11632
58	726	11580
59	734	11512
60	740	11398
61	749	11343
62	760	11310
63	771	11276
64	780	11229
65	790	11191
66	801	11162
67	811	11121
68	817	11032
69	827	10990
70	837	10954
71	847	10928
72	857	10889
73	867	10849
74	876	10813
75	882	10727
76	892	10703
77	902	10671
78	912	10641
79	922	10607
80	931	10569
81	941	10538
82	951	10508
83	954	10406
84	963	10375
85	973	10343
86	983	10325
87	994	10306
88	1003	10276
89	1014	10253
90	1024	10236
91	1035	10217
92	1037	10116
93	1041	10035
94	1050	10010
95	1061	9992
96	1072	9980
97	1082	9961
98	1092	9943
99	1102	9920
100	1112	9899
101	1122	9878
102	1131	9857
103	1141	9834
104	1151	9812
105	1162	9801
106	1173	9797
107	1183	9774
108	1185	9689
109	1195	9674
110	1207	9669
111	1213	9623
112	1224	9610
113	1234	9594
114	1244	9579
115	1283	9781
116	1299	9810
117	1312	9808
118	1322	9789
119	1331	9766
120	1342	9752
121	1357	9768
122	1369	9762
123	1378	9740
124	1389	9727
125	1399	9709
126	1409	9689
127	1419	9672
128	1429	9653
129	1439	9636
130	1450	9624
131	1461	9610
132	1470	9588
133	1481	9572
134	1491	9558
135	1493	9490
136	1497	9433
137	1507	9415
138	1517	9397
139	1526	9377
140	1536	9360
141	1545	9338
142	1555	9319
143	1564	9299
144	1573	9280
145	1584	9267
146	1594	9254
147	1604	9238
148	1614	9219
149	1623	9200
150	1632	9179
151	1642	9165
152	1652	9147
153	1661	9128
154	1671	9110
155	1680	9093
156	1690	9075
157	1699	9057
158	1708	9036
159	1725	9059
160	1735	9045
161	1746	9032
162	1756	9017
163	1765	9000
164	1775	8984
165	1784	8966
166	1794	8952
167	1804	8937
168	1814	8920
169	1823	8905
170	1833	8889
171	1843	8872
172	1852	8857
173	1863	8844
174	1872	8827
175	1882	8812
176	1891	8793
177	1900	8776
178	1910	8763
179	1921	8751
180	1930	8736
181	1940	8719
182	1950	8705
183	1959	8688
184	1969	8675
185	1979	8665
186	1989	8649
187	1999	8634
188	2008	8618
189	2017	8602
190	2027	8589
191	2037	8573
192	2046	8556
193	2056	8541
194	2065	8526
195	2076	8518
196	2086	8503
197	2095	8487
198	2104	8472
199	2115	8460
200	2124	8446
201	2135	8435
202	2145	8423
203	2154	8407
204	2164	8394
205	2173	8379
206	2183	8364
207	2193	8350
208	2202	8335
209	2211	8319
210	2221	8306
211	2230	8291
212	2239	8276
213	2249	8261
214	2258	8245
215	2268	8232
216	2278	8220
217	2287	8206
218	2297	8193
219	2307	8180
220	2316	8165
221	2330	8167
222	2342	8161
223	2352	8149
224	2361	8134
225	2371	8121
226	2382	8111
227	2391	8098
228	2401	8086
229	2412	8075
230	2421	8062
231	2432	8052
232	2442	8041
233	2452	8029
234	2462	8017
235	2474	8009
236	2484	7997
237	2494	7986
238	2504	7973
239	2514	7961
240	2524	7949
241	2534	7939
242	2545	7930
243	2555	7918
244	2565	7905
245	2574	7891
246	2585	7880
247	2594	7868
248	2604	7856
249	2614	7844
250	2625	7834
251	2635	7822
252	2644	7809
253	2654	7797
254	2664	7784
255	2675	7774
256	2685	7764
257	2695	7752
258	2705	7741
259	2717	7733
260	2728	7724
261	2738	7714
262	2748	7703
263	2759	7691
264	2768	7677
265	2778	7667
266	2788	7655
267	2797	7641
268	2806	7627
269	2816	7614
270	2826	7603
271	2836	7591
272	2846	7579
273	2856	7567
274	2866	7557
275	2876	7545
276	2885	7531
277	2895	7519
278	2904	7505
279	2914	7493
280	2924	7483
281	2935	7474
282	2945	7462
283	2956	7453
284	2967	7445
285	2977	7434
286	2987	7421
287	2997	7409
288	3006	7395
289	3016	7384
290	3025	7372
291	3034	7358
292	3044	7345
293	3053	7332
294	3062	7319
295	3072	7307
296	3082	7296
297	3091	7283
298	3101	7271
299	3110	7258
300	3119	7245
301	3129	7233
302	3139	7221
303	3148	7209
304	3158	7196
305	3167	7183
306	3176	7171
307	3186	7159
308	3196	7148
309	3206	7136
310	3215	7122
311	3224	7109
312	3234	7100
313	3244	7089
314	3255	7079
315	3265	7068
316	3275	7056
317	3286	7047
318	3296	7037
319	3306	7025
320	3315	7013
321	3325	7001
322	3334	6989
323	3345	6980
324	3356	6971
325	3366	6960
326	3375	6948
327	3385	6936
328	3395	6924
329	3404	6912
330	3414	6900
331	3423	6888
332	3433	6876
333	3441	6863
334	3452	6852
335	3462	6842
336	3472	6832
337	3482	6820
338	3492	6809
339	3503	6800
340	3512	6787
341	3521	6775
342	3532	6766
343	3542	6754
344	3551	6742
345	3560	6730
346	3570	6719
347	3581	6709
348	3591	6698
349	3600	6686
350	3610	6675
351	3619	6663
352	3629	6652
353	3639	6642
354	3649	6630
355	3659	6619
356	3669	6608
357	3678	6596
358	3687	6584
359	3697	6572
360	3707	6561
361	3716	6550
362	3726	6538
363	3735	6527
364	3745	6515
365	3754	6503
366	3764	6493
367	3776	6486
368	3787	6477
369	3796	6465
370	3806	6453
371	3815	6441
372	3825	6430
373	3834	6418
374	3843	6406
375	3853	6395
376	3864	6385
377	3873	6374
378	3883	6363
379	3893	6353
380	3903	6342
381	3913	6330
382	3922	6319
383	3931	6307
384	3941	6296
385	3951	6285
386	3960	6273
387	3970	6262
388	3979	6251
389	3990	6241
390	4000	6231
391	4011	6221
392	4020	6210
393	4030	6198
394	4040	6188
395	4049	6176
396	4058	6164
397	4068	6153
398	4078	6143
399	4088	6132
400	4097	6121
401	4107	6110
402	4116	6098
403	4126	6087
404	4136	6076
405	4145	6064
406	4154	6053
407	4165	6043
408	4175	6033
409	4184	6022
410	4196	6013
411	4205	6001
412	4214	5990
413	4224	5979
414	4234	5969
415	4244	5958
416	4255	5949
417	4266	5940
418	4276	5929
419	4287	5920
420	4297	5910
421	4306	5898
422	4317	5889
423	4327	5878
424	4336	5867
425	4346	5856
426	4356	5845
427	4366	5835
428	4376	5825
429	4387	5815
430	4397	5804
431	4408	5796
432	4419	5786
433	4428	5775
434	4438	5764
435	4449	5755
436	4459	5745
437	4471	5737
438	4481	5726
439	4491	5716
440	4501	5706
441	4512	5696
442	4521	5685
443	4530	5673
444	4540	5663
445	4550	5652
446	4560	5641
447	4570	5630
448	4579	5619
449	4589	5609
450	4599	5599
451	4609	5588
452	4619	5578
453	4629	5567
454	4639	5556
455	4648	5546
456	4658	5535
457	4668	5524
458	4677	5512
459	4687	5502
460	4696	5490
461	4705	5479
462	4716	5470
463	4727	5460
464	4737	5450
465	4747	5440
466	4758	5431
467	4768	5420
468	4778	5410
469	4787	5399
470	4797	5387
471	4806	5377
472	4817	5367
473	4827	5357
474	4837	5346
475	4846	5335
476	4856	5325
477	4866	5314
478	4876	5303
479	4885	5293
480	4896	5283
481	4906	5272
482	4915	5261
483	4925	5251
484	4934	5239
485	4945	5229
486	4954	5219
487	4965	5209
488	4974	5198
489	4984	5188
490	4994	5177
491	5004	5166
492	5013	5156
493	5023	5145
494	5033	5135
495	5042	5124
496	5052	5113
497	5062	5102
498	5072	5092
499	5081	5081
500	5091	5071
501	5101	5061
502	5112	5051
503	5121	5040
504	5131	5029
505	5140	5018
506	5150	5008
507	5159	4997
508	5169	4986
509	5179	4976
510	5189	4965
511	5199	4955
512	5209	4945
513	5219	4934
514	5228	4924
515	5238	4913
516	5248	4903
517	5259	4893
518	5269	4884
519	5279	4873
520	5289	4862
521	5299	4853
522	5309	4842
523	5321	4833
524	5331	4824
525	5342	4814
526	5352	4803
527	5363	4794
528	5374	4785
529	5384	4775
530	5394	4764
531	5404	4754
532	5415	4744
533	5425	4734
534	5435	4724
535	5446	4714
536	5456	4704
537	5468	4695
538	5479	4686
539	5489	4675
540	5499	4666
541	5510	4656
542	5521	4647
543	5531	4636
544	5541	4626
545	5551	4615
546	5560	4605
547	5571	4595
548	5581	4585
549	5592	4575
550	5603	4565
551	5613	4556
552	5624	4546
553	5634	4535
554	5645	4526
555	5656	4516
556	5666	4506
557	5676	4496
558	5686	4485
559	5695	4475
560	5705	4465
561	5715	4454
562	5725	4443
563	5734	4433
564	5744	4422
565	5755	4413
566	5764	4402
567	5774	4391
568	5783	4380
569	5793	4370
570	5803	4360
571	5813	4349
572	5823	4339
573	5833	4329
574	5844	4319
575	5855	4310
576	5865	4300
577	5875	4289
578	5885	4279
579	5895	4269
580	5905	4258
581	5915	4248
582	5925	4238
583	5935	4227
584	5945	4218
585	5955	4207
586	5965	4197
587	5977	4188
588	5987	4178
589	5997	4167
590	6007	4157
591	6017	4147
592	6027	4136
593	6037	4126
594	6048	4116
595	6059	4107
596	6068	4096
597	6081	4088
598	6091	4078
599	6101	4067
600	6111	4057
601	6122	4047
602	6132	4037
603	6141	4026
604	6151	4016
605	6161	4006
606	6171	3995
607	6183	3986
608	6192	3975
609	6202	3965
610	6213	3955
611	6223	3945
612	6233	3935
613	6244	3925
614	6254	3915
615	6264	3905
616	6274	3895
617	6285	3885
618	6296	3875
619	6306	3865
620	6317	3855
621	6326	3844
622	6336	3834
623	6347	3824
624	6357	3814
625	6367	3804
626	6377	3794
627	6389	3785
628	6400	3775
629	6410	3765
630	6422	3755
631	6432	3745
632	6442	3735
633	6453	3725
634	6464	3715
635	6473	3705
636	6485	3695
637	6495	3685
638	6506	3675
639	6516	3665
640	6526	3655
641	6537	3645
642	6547	3635
643	6558	3625
644	6568	3615
645	6578	3605
646	6589	3595
647	6599	3585
648	6610	3574
649	6620	3565
650	6631	3554
651	6641	3544
652	6652	3534
653	6663	3525
654	6673	3515
655	6683	3504
656	6694	3495
657	6704	3484
658	6715	3474
659	6726	3465
660	6736	3454
661	6750	3446
662	6760	3436
663	6771	3426
664	6781	3416
665	6792	3406
666	6803	3396
667	6817	3388
668	6828	3378
669	6839	3368
670	6850	3358
671	6860	3348
672	6872	3339
673	6883	3329
674	6893	3319
675	6904	3309
676	6915	3299
677	6926	3289
678	6939	3280
679	6949	3270
680	6961	3260
681	6972	3250
682	6982	3240
683	6992	3230
684	7004	3220
685	7015	3211
686	7025	3200
687	7035	3190
688	7047	3181
689	7058	3171
690	7069	3161
691	7080	3151
692	7089	3140
693	7100	3130
694	7110	3120
695	7121	3110
696	7131	3100
697	7141	3089
698	7151	3079
699	7162	3069
700	7173	3059
701	7185	3050
702	7197	3040
703	7208	3030
704	7220	3021
705	7231	3011
706	7241	3001
707	7253	2991
708	7263	2981
709	7273	2970
710	7283	2960
711	7294	2950
712	7304	2940
713	7314	2929
714	7324	2919
715	7335	2909
716	7345	2899
717	7355	2889
718	7365	2878
719	7375	2868
720	7385	2858
721	7396	2847
722	7405	2837
723	7416	2827
724	7426	2817
725	7436	2806
726	7447	2796
727	7457	2786
728	7467	2776
729	7477	2765
730	7488	2755
731	7498	2745
732	7508	2735
733	7518	2724
734	7527	2714
735	7538	2703
736	7548	2693
737	7558	2683
738	7568	2673
739	7579	2662
740	7588	2652
741	7598	2642
742	7608	2631
743	7618	2621
744	7629	2611
745	7639	2600
746	7649	2590
747	7660	2580
748	7670	2570
749	7680	2560
750	7691	2550
751	7701	2539
752	7711	2529
753	7721	2519
754	7731	2508
755	7741	2498
756	7752	2488
757	7763	2478
758	7773	2468
759	7783	2457
760	7793	2447
761	7803	2437
762	7813	2427
763	7823	2416
764	7833	2406
765	7843	2396
766	7854	2385
767	7864	2375
768	7874	2365
769	7885	2355
770	7895	2345
771	7905	2334
772	7915	2324
773	7926	2314
774	7935	2303
775	7945	2293
776	7955	2283
777	7965	2272
778	7975	2262
779	7985	2252
780	7995	2242
781	8006	2231
782	8015	2221
783	8025	2211
784	8036	2201
785	8046	2190
786	8056	2180
787	8067	2170
788	8077	2160
789	8086	2149
790	8097	2139
791	8107	2129
792	8116	2118
793	8127	2108
794	8137	2098
795	8147	2088
796	8157	2077
797	8167	2067
798	8177	2057
799	8187	2046
800	8197	2036
801	8206	2026
802	8217	2015
803	8226	2005
804	8236	1995
805	8246	1984
806	8256	1974
807	8267	1964
808	8277	1954
809	8288	1944
810	8298	1933
811	8308	1923
812	8319	1913
813	8329	1903
814	8339	1893
815	8350	1882
816	8360	1872
817	8370	1862
818	8380	1852
819	8390	1841
820	8400	1831
821	8410	1821
822	8420	1811
823	8430	1800
824	8441	1790
825	8451	1780
826	8462	1770
827	8472	1760
828	8482	1749
829	8492	1739
830	8502	1729
831	8512	1718
832	8522	1708
833	8532	1698
834	8543	1688
835	8553	1678
836	8564	1667
837	8575	1657
838	8586	1647
839	8596	1637
840	8606	1627
841	8616	1616
842	8626	1606
843	8636	1596
844	8646	1586
845	8656	1575
846	8666	1565
847	8676	1555
848	8686	1544
849	8696	1534
850	8707	1524
851	8716	1514
852	8728	1504
853	8739	1494
854	8748	1483
855	8759	1473
856	8768	1463
857	8778	1452
858	8788	1442
859	8799	1432
860	8808	1422
861	8818	1411
862	8828	1401
863	8838	1391
864	8848	1381
865	8858	1370
866	8869	1360
867	8879	1350
868	8890	1340
869	8900	1329
870	8910	1319
871	8920	1309
872	8930	1299
873	8940	1288
874	8949	1278
875	8959	1268
876	8969	1258
877	8979	1247
878	8989	1237
879	9000	1227
880	9010	1217
881	9020	1206
882	9030	1196
883	9039	1186
884	9049	1175
885	9058	1165
886	9069	1155
887	9079	1145
888	9089	1134
889	9099	1124
890	9109	1114
891	9119	1104
892	9129	1093
893	9140	1083
894	9150	1073
895	9160	1063
896	9171	1053
897	9181	1042
898	9190	1032
899	9200	1022
900	9211	1012
901	9221	1001
902	9230	991
903	9240	981
904	9250	971
905	9260	960
906	9271	950
907	9281	940
908	9291	930
909	9301	919
910	9311	909
911	9322	899
912	9333	889
913	9343	879
914	9354	869
915	9365	858
916	9375	848
917	9385	838
918	9396	828
919	9407	818
920	9417	807
921	9427	797
922	9438	787
923	9448	777
924	9458	766
925	9469	756
926	9479	746
927	9490	736
928	9500	726
929	9511	715
930	9522	705
931	9532	695
932	9543	685
933	9553	675
934	9563	664
935	9573	654
936	9584	644
937	9594	634
938	9604	623
939	9614	613
940	9624	603
941	9634	593
942	9644	582
943	9654	572
944	9664	562
945	9674	552
946	9685	542
947	9694	531
948	9705	521
949	9715	511
950	9725	501
951	9734	490
952	9745	480
953	9755	470
954	9765	460
955	9774	449
956	9784	439
957	9794	429
958	9804	419
959	9814	408
960	9824	398
961	9834	388
962	9844	378
963	9855	368
964	9865	357
965	9875	347
966	9885	337
967	9895	327
968	9905	316
969	9915	306
970	9924	296
971	9934	286
972	9944	275
973	9954	265
974	9965	255
975	9975	245
976	9985	235
977	9995	224
978	10005	214
979	10015	204
980	10025	194
981	10034	183
982	10044	173
983	10054	163
984	10064	153
985	10074	143
986	10084	132
987	10094	122
988	10104	112
989	10114	102
990	10124	91
991	10133	81
992	10144	71
993	10154	61
994	10164	51
995	10173	40
996	10183	30
997	10193	20
998	10203	10
999	10213	0
